psfa-1-mac6.sdsu.edu	130.191.208.70
etcpasswd.sdsu.edu	130.191.7.111
tavo-26-147.sdsu.edu	130.191.26.147
ecepc117.sdsu.edu	130.191.163.227
dyn-237-75.sdsu.edu	130.191.237.75
lovelab-006.sdsu.edu	130.191.137.6
lif-sci-n3-mac62.sdsu.edu	130.191.238.127
dyn-237-145.sdsu.edu	130.191.237.145
dyn-224-62.sdsu.edu	130.191.224.62
lif-sci-n1-mac8.sdsu.edu	130.191.238.9
lif-sci-n3.sdsu.edu	130.191.238.249
acme.sdsu.edu	130.191.226.45
dyn-224-131.sdsu.edu	130.191.224.131
sedona.sdsu.edu	130.191.15.213
alv6363-3-mac59.sdsu.edu	130.191.243.180
lovelab-067.sdsu.edu	130.191.137.67
sds-ac-1-1-2960a.sdsu.edu	130.191.252.15
alv6475-1-mac52.sdsu.edu	130.191.241.53
sds-ne-2-1-ap1200b.sdsu.edu	130.191.223.206
ezcheese.sdsu.edu	130.191.17.119
lif-sci-s1-mac44.sdsu.edu	130.191.236.109
hlth-hmn-srv-mac6.sdsu.edu	130.191.197.134
mistral.sdsu.edu	130.191.239.10
larcohorts.sdsu.edu	130.191.246.10
rfgatewayprod.sdsu.edu	130.191.15.33
chakotay.sdsu.edu	130.191.16.198
sds-gmcs-5-1-ap1200a.sdsu.edu	130.191.223.9
edcenter-dyn-18-232.sdsu.edu	130.191.18.232
alv6475-1-mac43.sdsu.edu	130.191.241.44
sunburst.sdsu.edu	130.191.69.48
heartbeat.sdsu.edu	130.191.226.23
dyn-235-114.sdsu.edu	130.191.235.114
lovelab-268.sdsu.edu	130.191.138.68
projecttres.sdsu.edu	130.191.244.25
blade-h1.viz.sdsu.edu	130.191.121.31
cs13.sdsu.edu	130.191.198.46
ecepc131a.sdsu.edu	130.191.163.241
stat-236-228.sdsu.edu	130.191.236.228
dyn-237-169.sdsu.edu	130.191.237.169
sds-pp-0-1-2924a.sdsu.edu	130.191.252.19
lovelab-118.sdsu.edu	130.191.137.118
vmpsun.sdsu.edu	130.191.162.7
svfr.sdsu.edu	130.191.237.112
virgo.sdsu.edu	130.191.230.37
stokes.sdsu.edu	130.191.161.247
bus-aff-1-mac16.sdsu.edu	130.191.32.48
sos-1-mac11.sdsu.edu	130.191.51.12
hlth-hmn-srv-mac27.sdsu.edu	130.191.197.155
webline.sdsu.edu	130.191.8.91
sds-ivcaudla-1-1-3750a.sdsu.edu	130.191.99.133
sci-dial-2-mac1.sdsu.edu	130.191.226.64
ohura.oha.sdsu.edu	130.191.242.211
stat-65-156.sdsu.edu	130.191.65.156
sds-ga-3-1-3550g.sdsu.edu	130.191.251.218
alv6363-1-mac46.sdsu.edu	130.191.243.47
dyn-136-150.sdsu.edu	130.191.136.150
cbant.sdsu.edu	130.191.128.5
prislin-pc1.sdsu.edu	130.191.235.35
lif-sci-n3-mac6.sdsu.edu	130.191.238.71
alv6363-1-mac1.sdsu.edu	130.191.243.2
llcn.sdsu.edu	130.191.5.239
lcd2.sdsu.edu	130.191.15.233
cdlin.sdsu.edu	130.191.28.67
lovelab-016.sdsu.edu	130.191.137.16
schumann.sdsu.edu	130.191.163.122
alv6363-1-mac2.sdsu.edu	130.191.243.3
dyn-136-103.sdsu.edu	130.191.136.103
sds-gmcs-1-1-2950e.sdsu.edu	130.191.252.128
astr-temp2.sdsu.edu	130.191.120.102
psfa-1-mac13.sdsu.edu	130.191.208.77
riny.sdsu.edu	130.191.38.25
cge-1-mac6.sdsu.edu	130.191.250.222
cge-1-mac23.sdsu.edu	130.191.250.239
lif-sci-n1-mac40.sdsu.edu	130.191.238.41
eop-2-mac12.sdsu.edu	130.191.52.45
dyn-237-213.sdsu.edu	130.191.237.213
sds-teno-3-1-2950a.sdsu.edu	130.191.110.88
dyn-65-171.sdsu.edu	130.191.65.171
sds-slh-2-1-2950e.sdsu.edu	130.191.252.22
sds-hrlo-1-2-2960a.sdsu.edu	130.191.252.164
lif-sci-n2-mac17.sdsu.edu	130.191.238.146
sds-ll-220-2960a.sdsu.edu	130.191.252.18
stat-236-203.sdsu.edu	130.191.236.203
dyn-136-130.sdsu.edu	130.191.136.130
sds-chap-store-2960b.sdsu.edu	130.191.252.204
lovelab-157.sdsu.edu	130.191.137.157
saodbt.sdsu.edu	130.191.202.20
bam116-1.sdsu.edu	130.191.136.224
edcenter-18-211.sdsu.edu	130.191.18.211
sds-hh-1-1-ap1200a.sdsu.edu	130.191.223.137
flash.sdsu.edu	130.191.163.39
dyn-136-132.sdsu.edu	130.191.136.132
astronomy-1-mac23.sdsu.edu	130.191.225.216
geog-1-mac15.sdsu.edu	130.191.118.72
sds-cdr-1-1-ap1200a.sdsu.edu	130.191.168.49
bam-gs-1-mac33.sdsu.edu	130.191.136.44
bucho-26-102.sdsu.edu	130.191.26.102
sds-ivcgal-1-1-3750a.sdsu.edu	130.191.99.132
dyn-243-142.sdsu.edu	130.191.243.142
lif-sci-s1-mac55.sdsu.edu	130.191.236.120
sds-gmcs-3-1-2950e.sdsu.edu	130.191.252.138
terminus.sdsu.edu	130.191.29.20
lovelab-171.sdsu.edu	130.191.137.171
surf25.sdsu.edu	130.191.71.25
lovelab-231.sdsu.edu	130.191.138.31
projlab09.sdsu.edu	130.191.163.68
sherlock.sdsu.edu	130.191.1.227
etsdb.sdsu.edu	130.191.15.75
lovelab-242.sdsu.edu	130.191.138.42
lif-sci-n2-mac44.sdsu.edu	130.191.238.173
virtue.sdsu.edu	130.191.166.249
sds-al-2-1-ap1200a.sdsu.edu	130.191.223.79
lif-sci-n2-mac7.sdsu.edu	130.191.238.136
personnel-2-mac13.sdsu.edu	130.191.36.49
sds-gmcs-4-1-2950i.sdsu.edu	130.191.252.137
stdnt-aff-2-mac30.sdsu.edu	130.191.58.62
dyn-136-187.sdsu.edu	130.191.136.187
dyn-224-223.sdsu.edu	130.191.224.223
dyn-237-158.sdsu.edu	130.191.237.158
sds-eba-1-2-bigipltm1.sdsu.edu	130.191.170.50
nia1.sdsu.edu	130.191.68.15
tavo-26-202.sdsu.edu	130.191.26.202
dyn-224-77.sdsu.edu	130.191.224.77
bisxcd.sdsu.edu	130.191.35.52
lovelab-296.sdsu.edu	130.191.138.96
sds-colsq-1-1-3750a.sdsu.edu	130.191.35.67
e327miller5-pc.sdsu.edu	130.191.162.56
lif-sci-s1-mac3.sdsu.edu	130.191.236.68
astronomy-1-mac3.sdsu.edu	130.191.225.196
lif-sci-n3-mac41.sdsu.edu	130.191.238.106
bucho-26-019.sdsu.edu	130.191.26.19
dyn-234-198.sdsu.edu	130.191.234.198
edcenter-dyn-18-230.sdsu.edu	130.191.18.230
chors.sdsu.edu	130.191.127.99
lif-sci-126-mac1.sdsu.edu	130.191.238.194
eop-2-mac18.sdsu.edu	130.191.52.51
sds-6386alv-2-1-2924c.sdsu.edu	130.191.251.155
ecepc111.sdsu.edu	130.191.163.221
sds-brawley-1-1-3550c.sdsu.edu	130.191.70.251
lovelab-306.sdsu.edu	130.191.138.106
sdmms.sdsu.edu	130.191.41.11
edcenter-18-214.sdsu.edu	130.191.18.214
bucho-26-045.sdsu.edu	130.191.26.45
chapultepecfp2.sdsu.edu	130.191.87.1
gaia.sdsu.edu	130.191.18.199
lif-sci-s1-mac16.sdsu.edu	130.191.236.81
dyn-237-77.sdsu.edu	130.191.237.77
lovelab-169.sdsu.edu	130.191.137.169
personnel-2.sdsu.edu	130.191.36.36
dyn-235-152.sdsu.edu	130.191.235.152
alv6363-3-mac54.sdsu.edu	130.191.243.175
cge-1-mac22.sdsu.edu	130.191.250.238
lif-sci-n3-mac32.sdsu.edu	130.191.238.97
sand31.sdsu.edu	130.191.72.31
ophelia.sdsu.edu	130.191.27.227
dyn-236-50.sdsu.edu	130.191.236.50
dyn-243-25.sdsu.edu	130.191.243.25
slhs-main.sdsu.edu	130.191.147.36
heartfelt.sdsu.edu	130.191.226.25
isa.foundation.sdsu.edu	130.191.74.22
ecpc103.sdsu.edu	130.191.163.213
lovelab-119.sdsu.edu	130.191.137.119
pip.sdsu.edu	130.191.234.103
sos-1-mac2.sdsu.edu	130.191.51.3
bam-xterm-2.sdsu.edu	130.191.28.130
vmol.sdsu.edu	130.191.19.22
lovelab-076.sdsu.edu	130.191.137.76
alv6505-1-mac35.sdsu.edu	130.191.240.45
jemery.sdsu.edu	130.191.234.102
tavo-26-241.sdsu.edu	130.191.26.241
gammara.sdsu.edu	130.191.5.195
sammy.sdsu.edu	130.191.28.65
I-am.sdsu.edu	130.191.41.191
opus.sdsu.edu	130.191.17.29
hlth-hmn-srv-mac11.sdsu.edu	130.191.197.139
tavo.sdsu.edu	130.191.26.146
lif-sci-n1-mac32.sdsu.edu	130.191.238.33
webquest.sdsu.edu	130.191.147.6
papershredder.sdsu.edu	130.191.20.31
dyn-243-235.sdsu.edu	130.191.243.235
brae.sdsu.edu	130.191.118.249
gon.sdsu.edu	130.191.166.72
esit005d.sdsu.edu	130.191.2.31
aepc22.sdsu.edu	130.191.161.33
psych-pc-9.sdsu.edu	130.191.235.15
sds-ed-1-1-2950e.sdsu.edu	130.191.251.37
dyn-235-107.sdsu.edu	130.191.235.107
sds-suba-1-1-2950a.sdsu.edu	130.191.252.102
fire3.sdsu.edu	130.191.164.46
dyn-136-80.sdsu.edu	130.191.136.80
sds-ne-1-1-ap1200e.sdsu.edu	130.191.223.207
choice.sdsu.edu	130.191.73.24
am1.sdsu.edu	130.191.209.2
dyn-65-163.sdsu.edu	130.191.65.163
bucho-26-050.sdsu.edu	130.191.26.50
lamar.sdsu.edu	130.191.162.40
counseling-1-mac17.sdsu.edu	130.191.50.18
mepc1.sdsu.edu	130.191.164.18
dyn-224-50.sdsu.edu	130.191.224.50
cge-1-mac20.sdsu.edu	130.191.250.236
